[02:05:09 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x1c2c49ae998396441501f8f30dc0126a153ab6fb0e0c9b30ae6b03ba3fe7cd81
[02:05:28 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x7773458140d42e9e1a857db404583ba30857dedb0fdbadb5b9811eb1ee66566e
[02:08:31 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[02:08:34 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:17 | 13-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x7b4f5efa5aa0ca143b1c7d5414ca3f696c26db40675c21e2fcd7d7598de2d891
[09:15:29 | 13-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x50cb82caf4b38c17f749b11776be06fb205bf9dbaa61acd3cd99ae8eb724decf
[09:18:36 | 13-02-2025] Transfer Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:18:44 | 13-02-2025] Bridge Task failed for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66: Request failed with status code 400
[09:15:01 | 14-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x38a898d9736d5ba99f6fc98bd57789c41080116792ec6d691f442cc2e70b4b0c
[09:15:13 | 14-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0x6de88d4f0f70462151b8a22b7b19e34fbd733974225b4d85cd5adfd2ffcac849
[09:18:16 | 14-02-2025] Transfer Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[09:18:19 | 14-02-2025] Bridge Task successful for 0x000004ad77FB28b1661d7836D640AdD49aa2DE66
[11:19:29 | 14-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0x05d4e7b3d42f89a36e74ca5657fe88db0bb98e1a7f01dd04d51130ff9561c625
[11:19:38 | 14-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xa2e717b70ff013b918d9c1f77755db93641fec66b2953acbb3fb624bbcf2de7e
[11:22:41 | 14-02-2025] Transfer Task successful for 0xF59C2ff3901753Ccc6B6E8FedcC957c131b7ab26
[11:22:44 | 14-02-2025] Bridge Task successful for 0xF59C2ff3901753Ccc6B6E8FedcC957c131b7ab26
[09:11:09 | 15-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xbbfdd1b523b61b6d6022e834efc65df3f355b417be24d793e39e86cd41e30eb8
[09:11:25 | 15-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xd8a80f515a23c50e99a43e90f1924899f1b077f4647320627f20e8435e8b4b93
[09:14:28 | 15-02-2025] Transfer Task successful for 0xF59C2ff3901753Ccc6B6E8FedcC957c131b7ab26
[09:14:31 | 15-02-2025] Bridge Task successful for 0xF59C2ff3901753Ccc6B6E8FedcC957c131b7ab26
[09:18:07 | 16-02-2025] Transaction Confirmed: https://reddio-devnet.l2scan.co/tx/0xf6c9959c7014f0a812a0077189a6b077cbbb5896f3d58025b67d6b302f16c5e7
[09:18:14 | 16-02-2025] Transaction Confirmed: https://sepolia.etherscan.io/tx/0xd964e06abebe5c37a8438f61d6cbde99c12bb3efdfb52634e3ba3dd278acaab2
